人民币	人民币 ￥
有胡子的人	有胡子的人 🧔‍♂️
有胡须的人	有胡须的人 🧔‍♂️
长胡子的人	长胡子的人 🧔‍♂️
长胡须的人	长胡须的人 🧔‍♂️
老人	老人 👵 🧓 👴
外婆	外婆 👵 🧓
奶奶	奶奶 👵 🧓
姥姥	姥姥 👵 🧓
祖母	祖母 👵 🧓
老太太	老太太 👵 🧓
老奶奶	老奶奶 👵 🧓
外公	外公 👴
姥爷	姥爷 👴
爷爷	爷爷 👴
祖父	祖父 👴
老头	老头 👴
老爷爷	老爷爷 👴
中国帽	中国帽 👲
瓜皮帽	瓜皮帽 👲
地主	地主 👲
头巾	头巾 👳‍♀️ 👳 👳‍♂️ 🧕
戴头巾	戴头巾 👳‍♀️ 👳 👳‍♂️
戴头巾的人	戴头巾的人 👳‍♀️ 👳 👳‍♂️
穆斯林	穆斯林 🧕
警官	警官 👮‍♀️ 👮 👮‍♂️
女警官	女警官 👮‍♀️ 👮
男警官	男警官 👮‍♂️
警察	警察 👮‍♀️ 👮 👮‍♂️
女警察	女警察 👮‍♀️ 👮
男警察	男警察 👮‍♂️
农民工	农民工 👷‍♀️ 👷 👷‍♂️
女农民工	女农民工 👷‍♀️ 👷
男农民工	男农民工 👷‍♂️
工人	工人 👷‍♀️ 👷 👷‍♂️
女工人	女工人 👷‍♀️ 👷
男工人	男工人 👷‍♂️
建筑工	建筑工 👷‍♀️ 👷 👷‍♂️
女建筑工	女建筑工 👷‍♀️ 👷
男建筑工	男建筑工 👷‍♂️
建筑工人	建筑工人 👷‍♀️ 👷 👷‍♂️
女建筑工人	女建筑工人 👷‍♀️ 👷
男建筑工人	男建筑工人 👷‍♂️
卫兵	卫兵 💂‍♀️ 💂 💂‍♂️
女卫兵	女卫兵 💂‍♀️ 💂
男卫兵	男卫兵 💂‍♂️
卫士	卫士 💂‍♀️ 💂 💂‍♂️
女卫士	女卫士 💂‍♀️ 💂
男卫士	男卫士 💂‍♂️
侦探	侦探 🕵️‍♀️ 🕵 🕵️‍♂️
女侦探	女侦探 🕵️‍♀️ 🕵
男侦探	男侦探 🕵️‍♂️
医护人员	医护人员 👩‍⚕️ 🧑‍⚕ 👨‍⚕️
女医护人员	女医护人员 👩‍⚕️ 🧑‍⚕
男医护人员	男医护人员 👨‍⚕️
医生	医生 👩‍⚕️ 🧑‍⚕ 👨‍⚕️
女医生	女医生 👩‍⚕️ 🧑‍⚕
男医生	男医生 👨‍⚕️
大夫	大夫 👩‍⚕️ 🧑‍⚕ 👨‍⚕️
女大夫	女大夫 👩‍⚕️ 🧑‍⚕
男大夫	男大夫 👨‍⚕️
农民	农民 👩‍🌾 🧑‍🌾 👨‍🌾
农妇	农妇 👩‍🌾 🧑‍🌾
农夫	农夫 👨‍🌾
下厨	下厨 👩‍🍳 🧑‍🍳 👨‍🍳
做饭	做饭 👩‍🍳 🧑‍🍳 👨‍🍳
大厨	大厨 👩‍🍳 🧑‍🍳 👨‍🍳
厨师	厨师 👩‍🍳 🧑‍🍳 👨‍🍳
女厨师	女厨师 👩‍🍳 🧑‍🍳
男厨师	男厨师 👨‍🍳
大学生	大学生 👩‍🎓 🧑‍🎓 👨‍🎓
本科生	本科生 👩‍🎓 🧑‍🎓 👨‍🎓
毕业	毕业 👩‍🎓 🧑‍🎓 👨‍🎓
学生	学生 👩‍🎓 🧑‍🎓 👨‍🎓
女学生	女学生 👩‍🎓 🧑‍🎓
男学生	男学生 👨‍🎓
摇滚歌手	摇滚歌手 👩‍🎤 🧑‍🎤 👨‍🎤
摇滚女歌手	摇滚女歌手 👩‍🎤 🧑‍🎤
女摇滚歌手	女摇滚歌手 👩‍🎤 🧑‍🎤
摇滚男歌手	摇滚男歌手 👨‍🎤
男摇滚歌手	男摇滚歌手 👨‍🎤
歌手	歌手 👩‍🎤 🧑‍🎤 👨‍🎤
女歌手	女歌手 👩‍🎤 🧑‍🎤
男歌手	男歌手 👨‍🎤
朋克	朋克 👩‍🎤 🧑‍🎤 👨‍🎤
重金属	重金属 👩‍🎤 🧑‍🎤 👨‍🎤
教师	教师 👩‍🏫 🧑‍🏫 👨‍🏫
女教师	女教师 👩‍🏫 🧑‍🏫
男教师	男教师 👨‍🏫
老师	老师 👩‍🏫 🧑‍🏫 👨‍🏫
女老师	女老师 👩‍🏫 🧑‍🏫
男老师	男老师 👨‍🏫
工厂工人	工厂工人 👩‍🏭 🧑‍🏭 👨‍🏭
女工厂工人	女工厂工人 👩‍🏭 🧑‍🏭
男工厂工人	男工厂工人 👨‍🏭
开发人员	开发人员 👩‍💻 🧑‍💻 👨‍💻
女开发人员	女开发人员 👩‍💻 🧑‍💻
男开发人员	男开发人员 👨‍💻
技术员	技术员 👩‍💻 🧑‍💻 👨‍💻
女技术员	女技术员 👩‍💻 🧑‍💻
男技术员	男技术员 👨‍💻
码农	码农 👩‍💻 🧑‍💻 👨‍💻
女码农	女码农 👩‍💻 🧑‍💻
男码农	男码农 👨‍💻
码畜	码畜 👩‍💻 🧑‍💻 👨‍💻
女码畜	女码畜 👩‍💻 🧑‍💻
男码畜	男码畜 👨‍💻
程序员	程序员 👩‍💻 🧑‍💻 👨‍💻
女程序员	女程序员 👩‍💻 🧑‍💻
男程序员	男程序员 👨‍💻
办公室职员	办公室职员 👩‍💼 🧑‍💼 👨‍💼
女办公室职员	女办公室职员 👩‍💼 🧑‍💼
男办公室职员	男办公室职员 👨‍💼
白领	白领 👩‍💼 🧑‍💼 👨‍💼
女白领	女白领 👩‍💼 🧑‍💼
男白领	男白领 👨‍💼
职员	职员 👩‍💼 🧑‍💼 👨‍💼
女职员	女职员 👩‍💼 🧑‍💼
男职员	男职员 👨‍💼
修理工	修理工 👩‍🔧 🧑‍🔧 👨‍🔧
女修理工	女修理工 👩‍🔧 🧑‍🔧
男修理工	男修理工 👨‍🔧
技工	技工 👩‍🔧 🧑‍🔧 👨‍🔧
女技工	女技工 👩‍🔧 🧑‍🔧
男技工	男技工 👨‍🔧
水管工	水管工 👩‍🔧 🧑‍🔧 👨‍🔧
女水管工	女水管工 👩‍🔧 🧑‍🔧
男水管工	男水管工 👨‍🔧
电工	电工 👩‍🔧 🧑‍🔧 👨‍🔧
女电工	女电工 👩‍🔧 🧑‍🔧
男电工	男电工 👨‍🔧
化学家	化学家 👩‍🔬 🧑‍🔬 👨‍🔬
女化学家	女化学家 👩‍🔬 🧑‍🔬
男化学家	男化学家 👨‍🔬
科学家	科学家 👩‍🔬 🧑‍🔬 👨‍🔬
女科学家	女科学家 👩‍🔬 🧑‍🔬
男科学家	男科学家 👨‍🔬
漫画家	漫画家 👩‍🎨 🧑‍🎨 👨‍🎨
女漫画家	女漫画家 👩‍🎨 🧑‍🎨
男漫画家	男漫画家 👨‍🎨
画家	画家 👩‍🎨 🧑‍🎨 👨‍🎨
女画家	女画家 👩‍🎨 🧑‍🎨
男画家	男画家 👨‍🎨
艺术家	艺术家 👩‍🎨 🧑‍🎨 👨‍🎨
女艺术家	女艺术家 👩‍🎨 🧑‍🎨
男艺术家	男艺术家 👨‍🎨
消防员	消防员 👩‍🚒 🧑‍🚒 👨‍🚒
女消防员	女消防员 👩‍🚒 🧑‍🚒
男消防员	男消防员 👨‍🚒
飞行员	飞行员 👩‍✈️ 🧑‍✈ 👨‍✈️
女飞行员	女飞行员 👩‍✈️ 🧑‍✈
男飞行员	男飞行员 👨‍✈️
宇航员	宇航员 👩‍🚀 🧑‍🚀 👨‍🚀
女宇航员	女宇航员 👩‍🚀 🧑‍🚀
男宇航员	男宇航员 👨‍🚀
法官	法官 👩‍⚖️ 🧑‍⚖ 👨‍⚖️
女法官	女法官 👩‍⚖️ 🧑‍⚖
男法官	男法官 👨‍⚖️
头纱	头纱 👰‍♀️ 👰
婚纱	婚纱 👰‍♀️ 👰
戴头纱的人	戴头纱的人 👰‍♀️ 👰
新娘	新娘 👰‍♀️ 👰
新娘子	新娘子 👰‍♀️ 👰
男新娘	男新娘 👰‍♂️
女新郎	女新郎 🤵‍♀️ 🤵
新郎	新郎 🤵‍♂️
燕尾服	燕尾服 🤵‍♂️
礼服	礼服 🤵‍♂️
西服	西服 🤵‍♂️
西装	西装 🤵‍♂️
君主	君主 👸 🫅 🤴
戴王冠的人	戴王冠的人 👸 🫅 🤴
小公主	小公主 👸 🫅
小王子	小王子 🤴
公主	公主 👸 🫅
王子	王子 🤴
女王	女王 👸 🫅
国王	国王 🤴
女皇	女皇 👸 🫅
忍者	忍者 🥷
忍术	忍术 🥷
超人	超人 🦸‍♀️ 🦸 🦸‍♂️
女超人	女超人 🦸‍♀️ 🦸
男超人	男超人 🦸‍♂️
超级英雄	超级英雄 🦸‍♀️ 🦸 🦸‍♂️
女超级英雄	女超级英雄 🦸‍♀️ 🦸
男超级英雄	男超级英雄 🦸‍♂️
反派	反派 🦹‍♀️ 🦹 🦹‍♂️
女反派	女反派 🦹‍♀️ 🦹
男反派	男反派 🦹‍♂️
坏蛋	坏蛋 🦹‍♀️ 🦹 🦹‍♂️
女坏蛋	女坏蛋 🦹‍♀️ 🦹
男坏蛋	男坏蛋 🦹‍♂️
大反派	大反派 🦹‍♀️ 🦹 🦹‍♂️
女大反派	女大反派 🦹‍♀️ 🦹
男大反派	男大反派 🦹‍♂️
超级大反派	超级大反派 🦹‍♀️ 🦹 🦹‍♂️
女超级大反派	女超级大反派 🦹‍♀️ 🦹
男超级大反派	男超级大反派 🦹‍♂️
圣诞夫人	圣诞夫人 🤶 🧑‍🎄
圣诞奶奶	圣诞奶奶 🤶 🧑‍🎄
圣诞老人	圣诞老人 🎅
法师	法师 🧙‍♀️ 🧙 🧙‍♂️
女法师	女法师 🧙‍♀️ 🧙
男法师	男法师 🧙‍♂️
魔术师	魔术师 🧙‍♀️ 🧙 🧙‍♂️
女魔术师	女魔术师 🧙‍♀️ 🧙
男魔术师	男魔术师 🧙‍♂️
魔法师	魔法师 🧙‍♀️ 🧙 🧙‍♂️
女魔法师	女魔法师 🧙‍♀️ 🧙
男魔法师	男魔法师 🧙‍♂️
女巫	女巫 🧙‍♀️ 🧙
男巫	男巫 🧙‍♂️
精灵	精灵 🧝‍♀️ 🧝 🧝‍♂️
女精灵	女精灵 🧝‍♀️ 🧝
男精灵	男精灵 🧝‍♂️
精灵族	精灵族 🧝‍♀️ 🧝 🧝‍♂️
巨怪	巨怪 🧌
穴居巨怪	穴居巨怪 🧌
德古拉	德古拉 🧛‍♀️ 🧛 🧛‍♂️
吸血鬼	吸血鬼 🧛‍♀️ 🧛 🧛‍♂️
女吸血鬼	女吸血鬼 🧛‍♀️ 🧛
男吸血鬼	男吸血鬼 🧛‍♂️
丧尸	丧尸 🧟‍♀️ 🧟 🧟‍♂️
女丧尸	女丧尸 🧟‍♀️ 🧟
男丧尸	男丧尸 🧟‍♂️
僵尸	僵尸 🧟‍♀️ 🧟 🧟‍♂️
女僵尸	女僵尸 🧟‍♀️ 🧟
男僵尸	男僵尸 🧟‍♂️
行尸走肉	行尸走肉 🧟‍♀️ 🧟 🧟‍♂️
女行尸走肉	女行尸走肉 🧟‍♀️ 🧟
男行尸走肉	男行尸走肉 🧟‍♂️
灯神	灯神 🧞‍♀️ 🧞 🧞‍♂️
女灯神	女灯神 🧞‍♀️ 🧞
男灯神	男灯神 🧞‍♂️
阿拉丁	阿拉丁 🧞‍♀️ 🧞 🧞‍♂️
阿拉丁神灯	阿拉丁神灯 🧞‍♀️ 🧞 🧞‍♂️
人鱼	人鱼 🧜‍♀️ 🧜 🧜‍♂️
美人鱼	美人鱼 🧜‍♀️ 🧜
男人鱼	男人鱼 🧜‍♂️
美男鱼	美男鱼 🧜‍♂️
海王	海王 🧜‍♂️
妖精	妖精 🧚‍♀️ 🧚 🧚‍♂️
小仙女	小仙女 🧚‍♀️ 🧚
小仙子	小仙子 🧚‍♀️ 🧚 🧚‍♂️
小精灵	小精灵 🧚‍♀️ 🧚 🧚‍♂️
天使	天使 👼
天使宝宝	天使宝宝 👼
小天使	小天使 👼
大肚子	大肚子 🤰 🫄 🫃
孕妇	孕妇 🤰 🫄
孕肚	孕肚 🤰 🫄
怀了	怀了 🤰 🫄
怀孕	怀孕 🤰 🫄
啤酒肚	啤酒肚 🫃
将军肚	将军肚 🫃
怀孕的男人	怀孕的男人 🫃
男人怀孕	男人怀孕 🫃
哺乳	哺乳 🤱 👩‍🍼 🧑‍🍼
喂奶	喂奶 🤱
母乳	母乳 🤱
母乳喂养	母乳喂养 🤱
哺乳的女人	哺乳的女人 👩‍🍼 🧑‍🍼
哺乳的男人	哺乳的男人 👨‍🍼
奶妈	奶妈 👩‍🍼 🧑‍🍼
奶爸	奶爸 👨‍🍼
不好意思	不好意思 🙇‍♀️ 🙇 🙇‍♂️
对不起	对不起 🙇‍♀️ 🙇 🙇‍♂️
跪求	跪求 🙇‍♀️ 🙇 🙇‍♂️
道歉	道歉 🙇‍♀️ 🙇 🙇‍♂️
鞠躬	鞠躬 🙇‍♀️ 🙇 🙇‍♂️
服务员	服务员 💁‍♀️ 💁 💁‍♂️
女服务员	女服务员 💁‍♀️ 💁
男服务员	男服务员 💁‍♂️
服务生	服务生 💁‍♀️ 💁 💁‍♂️
女服务生	女服务生 💁‍♀️ 💁
男服务生	男服务生 💁‍♂️
不	不 🙅‍♀️ 🙅 🙅‍♂️ 🙂‍↔
不可以	不可以 🙅‍♀️ 🙅 🙅‍♂️
不同意	不同意 🙅‍♀️ 🙅 🙅‍♂️ 🙂‍↔
不行	不行 🙅‍♀️ 🙅 🙅‍♂️
反对	反对 🙅‍♀️ 🙅 🙅‍♂️
打咩	打咩 🙅‍♀️ 🙅 🙅‍♂️
拒绝	拒绝 🙅‍♀️ 🙅 🙅‍♂️
禁止手势	禁止手势 🙅‍♀️ 🙅 🙅‍♂️
可以	可以 🙆‍♀️ 🙆 🙆‍♂️ 🉑
同意	同意 🙆‍♀️ 🙆 🙆‍♂️ 🙂‍↕
举手	举手 🙋‍♀️ 🙋 🙋‍♂️
我知道	我知道 🙋‍♀️ 🙋 🙋‍♂️
这个我知道	这个我知道 🙋‍♀️ 🙋 🙋‍♂️
失聪	失聪 🧏‍♀️ 🧏 🧏‍♂️
失聪者	失聪者 🧏‍♀️ 🧏 🧏‍♂️
耳聋	耳聋 🧏‍♀️ 🧏 🧏‍♂️
聋子	聋子 🧏‍♀️ 🧏 🧏‍♂️
我服了	我服了 🤦‍♀️ 🤦 🤦‍♂️
我服了你	我服了你 🤦‍♀️ 🤦 🤦‍♂️
我服了你了	我服了你了 🤦‍♀️ 🤦 🤦‍♂️
手掌捂脸	手掌捂脸 🤦‍♀️ 🤦 🤦‍♂️
扶额	扶额 🤦‍♀️ 🤦 🤦‍♂️
捂脸	捂脸 🤦‍♀️ 🤦 🤦‍♂️
服了	服了 🤦‍♀️ 🤦 🤦‍♂️
服了你了	服了你了 🤦‍♀️ 🤦 🤦‍♂️
不关心	不关心 🤷‍♀️ 🤷 🤷‍♂️
不知道	不知道 🤷‍♀️ 🤷 🤷‍♂️
与我无关	与我无关 🤷‍♀️ 🤷 🤷‍♂️
耸肩	耸肩 🤷‍♀️ 🤷 🤷‍♂️
谁知道	谁知道 🤷‍♀️ 🤷 🤷‍♂️
谁知道呢	谁知道呢 🤷‍♀️ 🤷 🤷‍♂️
噘嘴的人	噘嘴的人 🙎‍♀️ 🙎 🙎‍♂️
皱着眉头	皱着眉头 🙍‍♀️ 🙍 🙍‍♂️
皱着眉头的人	皱着眉头的人 🙍‍♀️ 🙍 🙍‍♂️
做造型	做造型 💇‍♀️ 💇 💇‍♂️
剪发	剪发 💇‍♀️ 💇 💇‍♂️
剪头	剪头 💇‍♀️ 💇 💇‍♂️
剪头发	剪头发 💇‍♀️ 💇 💇‍♂️
理发	理发 💇‍♀️ 💇 💇‍♂️
理头	理头 💇‍♀️ 💇 💇‍♂️
理头发	理头发 💇‍♀️ 💇 💇‍♂️
美容美发	美容美发 💇‍♀️ 💇 💇‍♂️
按摩	按摩 💆‍♀️ 💆 💆‍♂️
美容	美容 💆‍♀️ 💆 💆‍♂️
桑拿	桑拿 🧖‍♀️ 🧖 🧖‍♂️
蒸房	蒸房 🧖‍♀️ 🧖 🧖‍♂️
蒸房里的人	蒸房里的人 🧖‍♀️ 🧖 🧖‍♂️
蒸房里的女人	蒸房里的女人 🧖‍♀️ 🧖
蒸房里的男人	蒸房里的男人 🧖‍♂️
蒸桑拿	蒸桑拿 🧖‍♀️ 🧖 🧖‍♂️
做指甲	做指甲 💅
做美甲	做美甲 💅
指甲油	指甲油 💅
涂指甲油	涂指甲油 💅
美甲	美甲 💅
自拍	自拍 🤳
跳舞	跳舞 💃 🕺
舞者	舞者 🕺
舞女	舞女 💃
舞男	舞男 🕺
跳舞的女人	跳舞的女人 💃
跳舞的男人	跳舞的男人 🕺
兔耳朵	兔耳朵 👯‍♀️ 👯 👯‍♂️
兔女郎	兔女郎 👯‍♀️ 👯
兔先生	兔先生 👯‍♂️
浮在地面上的西装男	浮在地面上的西装男 🕴
手动轮椅	手动轮椅 👩‍🦽 🧑‍🦽 👨‍🦽 👩‍🦽‍➡ 🧑‍🦽‍➡ 👨‍🦽‍➡ 🦽
坐手动轮椅的人	坐手动轮椅的人 👩‍🦽 🧑‍🦽 👨‍🦽 👩‍🦽‍➡ 🧑‍🦽‍➡ 👨‍🦽‍➡
坐手动轮椅的女人	坐手动轮椅的女人 👩‍🦽 🧑‍🦽 👩‍🦽‍➡ 🧑‍🦽‍➡
坐手动轮椅的男人	坐手动轮椅的男人 👨‍🦽 👨‍🦽‍➡
电动轮椅	电动轮椅 👩‍🦼 🧑‍🦼 👨‍🦼 👩‍🦼‍➡ 🧑‍🦼‍➡ 👨‍🦼‍➡ 🦼
坐电动轮椅的人	坐电动轮椅的人 👩‍🦼 🧑‍🦼 👨‍🦼 👩‍🦼‍➡ 🧑‍🦼‍➡ 👨‍🦼‍➡
坐电动轮椅的女人	坐电动轮椅的女人 👩‍🦼 🧑‍🦼 👩‍🦼‍➡ 🧑‍🦼‍➡
坐电动轮椅的男人	坐电动轮椅的男人 👨‍🦼 👨‍🦼‍➡
徒步	徒步 🚶‍♀️ 🚶 🚶‍♂️ 🚶‍♀️‍➡ 🚶‍➡ 🚶‍♂️‍➡
行人	行人 🚶‍♀️ 🚶 🚶‍♂️ 🚶‍♀️‍➡ 🚶‍➡ 🚶‍♂️‍➡
行走	行走 🚶‍♀️ 🚶 🚶‍♂️ 🚶‍♀️‍➡ 🚶‍➡ 🚶‍♂️‍➡
走路	走路 🚶‍♀️ 🚶 🚶‍♂️ 🚶‍♀️‍➡ 🚶‍➡ 🚶‍♂️‍➡
拄盲杖的人	拄盲杖的人 👩‍🦯 🧑‍🦯 👨‍🦯 👩‍🦯‍➡ 🧑‍🦯‍➡ 👨‍🦯‍➡
拿着白手杖的人	拿着白手杖的人 👩‍🦯 🧑‍🦯 👨‍🦯 👩‍🦯‍➡ 🧑‍🦯‍➡ 👨‍🦯‍➡
下跪	下跪 🧎‍♀️ 🧎 🧎‍♂️ 🧎‍♀️‍➡ 🧎‍➡ 🧎‍♂️‍➡
跪坐	跪坐 🧎‍♀️ 🧎 🧎‍♂️ 🧎‍♀️‍➡ 🧎‍➡ 🧎‍♂️‍➡
跪着	跪着 🧎‍♀️ 🧎 🧎‍♂️ 🧎‍♀️‍➡ 🧎‍➡ 🧎‍♂️‍➡
跑步	跑步 🏃‍♀️ 🏃 🏃‍♂️ 🏃‍♀️‍➡ 🏃‍➡ 🏃‍♂️‍➡
跑步者	跑步者 🏃‍♀️ 🏃 🏃‍♂️ 🏃‍♀️‍➡ 🏃‍➡ 🏃‍♂️‍➡
马拉松	马拉松 🏃‍♀️ 🏃 🏃‍♂️ 🏃‍♀️‍➡ 🏃‍➡ 🏃‍♂️‍➡
站着	站着 🧍‍♀️ 🧍 🧍‍♂️
站立	站立 🧍‍♀️ 🧍 🧍‍♂️
站立者	站立者 🧍‍♀️ 🧍 🧍‍♂️
站立的女人	站立的女人 🧍‍♀️ 🧍
站立的男人	站立的男人 🧍‍♂️
女仔	女仔 🧍‍♀️ 🧍
男仔	男仔 🧍‍♂️
妹妹	妹妹 🧍‍♀️ 🧍
弟弟	弟弟 🧍‍♂️
姐姐	姐姐 🧍‍♀️ 🧍
哥哥	哥哥 🧍‍♂️
手拉手	手拉手 👫 👭 🧑‍🤝‍🧑 👬
牵手	牵手 👫 👭 🧑‍🤝‍🧑 👬
情侣	情侣 👫
手拉手的情侣	手拉手的情侣 👫
牵手的情侣	牵手的情侣 👫
两个牵手的女人	两个牵手的女人 👭 🧑‍🤝‍🧑
两个牵手的男人	两个牵手的男人 👬
两个女人	两个女人 👭 🧑‍🤝‍🧑
两个男人	两个男人 👬
闺蜜	闺蜜 👭 🧑‍🤝‍🧑
兄弟	兄弟 👬
基友	基友 👬
好兄弟	好兄弟 👬
好基友	好基友 👬
love	love 👩‍❤️‍👨 👩‍❤️‍💋‍👨 💕 💓 ♥️
恋爱	恋爱 👩‍❤️‍👨 👩‍❤️‍💋‍👨
爱情	爱情 👩‍❤️‍👨 👩‍❤️‍💋‍👨 💕 💓
相爱	相爱 👩‍❤️‍👨 👩‍❤️‍💋‍👨
谈恋爱	谈恋爱 👩‍❤️‍👨 👩‍❤️‍💋‍👨
同性恋	同性恋 👩‍❤️‍👩 💑 👨‍❤️‍👨 👩‍❤️‍💋‍👩 💏 👨‍❤️‍💋‍👨
女同性恋	女同性恋 👩‍❤️‍👩 💑 👩‍❤️‍💋‍👩 💏
男同性恋	男同性恋 👨‍❤️‍👨 👨‍❤️‍💋‍👨
女同	女同 👩‍❤️‍👩 💑 👩‍❤️‍💋‍👩 💏
男同	男同 👨‍❤️‍👨 👨‍❤️‍💋‍👨
拉拉	拉拉 👩‍❤️‍👩 💑 👩‍❤️‍💋‍👩 💏
玻璃	玻璃 👨‍❤️‍👨 👨‍❤️‍💋‍👨
打结	打结 🪢
绳子	绳子 🪢
绳结	绳结 🪢
毛线	毛线 🧶
毛线球	毛线球 🧶
纱线	纱线 🧶
线团	线团 🧶
线轴	线轴 🧵
绣花针	绣花针 🪡
缝纫针	缝纫针 🪡
针	针 🪡
外套	外套 🧥
夹克	夹克 🧥
夹克衫	夹克衫 🧥
实验室外衣	实验室外衣 🥼
白大褂	白大褂 🥼
安全背心	安全背心 🦺
救生衣	救生衣 🦺
女士衬衫	女士衬衫 👚
女衬衫	女衬衫 👚
女装	女装 👚
T恤	T恤 👕
T恤衫	T恤衫 👕
上衣	上衣 👕
恤衫	恤衫 👕
汗衫	汗衫 👕
男士衬衫	男士衬衫 👕
男衬衫	男衬衫 👕
短袖	短袖 👕
衬衫	衬衫 👕
牛仔裤	牛仔裤 👖
裤子	裤子 👖
三角裤	三角裤 🩲
内裤	内裤 🩲
底裤	底裤 🩲
四角裤	四角裤 🩳
短裤	短裤 🩳
衣服	衣服 👔
衬衫领带	衬衫领带 👔
领带	领带 👔
裙子	裙子 👗
连衣裙	连衣裙 👗
长裙	长裙 👗
三点式	三点式 👙
内衣	内衣 👙
比基尼	比基尼 👙
泳装	泳装 👙 🩱
泳衣	泳衣 🩱
连体泳衣	连体泳衣 🩱
和服	和服 👘
浴衣	浴衣 👘
纱丽	纱丽 🥻
人字拖	人字拖 🩴
凉鞋	凉鞋 🩴 👡
夹趾凉鞋	夹趾凉鞋 🩴
拖鞋	拖鞋 🩴
沙滩凉鞋	沙滩凉鞋 🩴
平底鞋	平底鞋 🥿
女鞋	女鞋 👠
高跟鞋	高跟鞋 👠
女式凉鞋	女式凉鞋 👡
高跟凉鞋	高跟凉鞋 👡
女靴	女靴 👢
长靴	长靴 👢
靴子	靴子 👢
高跟靴	高跟靴 👢
男鞋	男鞋 👞
皮鞋	皮鞋 👞
休闲鞋	休闲鞋 👟
板鞋	板鞋 👟
网球鞋	网球鞋 👟
跑鞋	跑鞋 👟
运动鞋	运动鞋 👟
鞋子	鞋子 👟
登山鞋	登山鞋 🥾
短袜	短袜 🧦
袜子	袜子 🧦
手套	手套 🧤
围巾	围巾 🧣
帽子	帽子 🎩
礼帽	礼帽 🎩
高帽	高帽 🎩
棒球帽	棒球帽 🧢
鸭舌帽	鸭舌帽 🧢
女帽	女帽 👒
宽檐帽	宽檐帽 👒
带蝴蝶结的帽子	带蝴蝶结的帽子 👒
四方帽	四方帽 🎓
学士帽	学士帽 🎓
毕业帽	毕业帽 🎓
十字头盔	十字头盔 ⛑️
十字安全帽	十字安全帽 ⛑️
安全帽	安全帽 ⛑️
白十字头盔	白十字头盔 ⛑️
白十字安全帽	白十字安全帽 ⛑️
军人	军人 🪖
军用头盔	军用头盔 🪖
军盔	军盔 🪖
头盔	头盔 🪖
王冠	王冠 👑
皇冠	皇冠 👑
皇族	皇族 👑
戒指	戒指 💍
星钻	星钻 💍
求婚戒	求婚戒 💍
订婚戒	订婚戒 💍
钻戒	钻戒 💍
手拿包	手拿包 👝
皮包	皮包 👝
荷包	荷包 👝
女士钱包	女士钱包 👛
钱包	钱包 👛
零钱包	零钱包 👛
包包	包包 👜
女包	女包 👜
手提包	手提包 👜
挎包	挎包 👜
上班	上班 💼
公事包	公事包 💼
公文包	公文包 💼
工作	工作 💼
书包	书包 🎒
双肩包	双肩包 🎒
背包	背包 🎒
背囊	背囊 🎒
行李	行李 🧳
行李箱	行李箱 🧳
眼镜	眼镜 👓 🕶️ 🥽
近视	近视 👓
近视眼	近视眼 👓
护目镜	护目镜 🥽
泳镜	泳镜 🥽
游泳镜	游泳镜 🥽
收起的伞	收起的伞 🌂
收起的雨伞	收起的雨伞 🌂
雨伞	雨伞 🌂 ☔ ☂️
Doge	Doge 🐶
狗	狗 🐶 🐕
狗仔	狗仔 🐶 🐕
狗头	狗头 🐶
狗脸	狗脸 🐶
喵	喵 🐱
喵喵	喵喵 🐱
喵喵叫	喵喵叫 🐱
喵喵喵	喵喵喵 🐱
猫	猫 🐱 🐈
小猫	小猫 🐱 🐈
小猫咪	小猫咪 🐱 🐈
猫咪	猫咪 🐱 🐈
猫头	猫头 🐱
猫脸	猫脸 🐱
老鼠	老鼠 🐭 🐁 🐀
老鼠头	老鼠头 🐭
老鼠脸	老鼠脸 🐭
耗子	耗子 🐭 🐁 🐀
鼠	鼠 🐭 🐁
鼠头	鼠头 🐭
鼠脸	鼠脸 🐭
仓鼠	仓鼠 🐹
仓鼠头	仓鼠头 🐹
仓鼠脸	仓鼠脸 🐹
兔	兔 🐰 🐇
兔头	兔头 🐰
兔子	兔子 🐰 🐇
兔子头	兔子头 🐰
兔子脸	兔子脸 🐰
兔脸	兔脸 🐰
狐狸	狐狸 🦊
狐狸偷	狐狸偷 🦊
狐狸脸	狐狸脸 🦊
熊	熊 🐻
小熊	小熊 🐻
熊头	熊头 🐻
熊脸	熊脸 🐻
panda	panda 🐼
国宝	国宝 🐼
大熊猫	大熊猫 🐼
熊猫	熊猫 🐼
熊猫人	熊猫人 🐼
熊猫头	熊猫头 🐼
熊猫脸	熊猫脸 🐼
猫熊	猫熊 🐼
胖达	胖达 🐼
北极熊	北极熊 🐻‍❄️
北极熊头	北极熊头 🐻‍❄️
北极熊脸	北极熊脸 🐻‍❄️
无尾熊	无尾熊 🐨
树袋熊	树袋熊 🐨
考拉	考拉 🐨
老虎	老虎 🐯 🐅
老虎头	老虎头 🐯
老虎脸	老虎脸 🐯
虎	虎 🐯 🐅
虎头	虎头 🐯
虎脸	虎脸 🐯
狮	狮 🦁
狮头	狮头 🦁
狮子	狮子 🦁
狮子头	狮子头 🦁
狮子脸	狮子脸 🦁
狮脸	狮脸 🦁
牛	牛 🐮 🐄
小牛	小牛 🐮
牛头	牛头 🐮
牛牛	牛牛 🐮
牛脸	牛脸 🐮
猪	猪 🐷 🐖
小猪	小猪 🐷
